,"ï»¿""Table 319.20. Degrees conferred by postsecondary institutions","bylevelofdegreeandstateorjurisdiction:2012-13through2014-15""",Unnamed:2,Unnamed:3,Unnamed:4,Unnamed:5,Unnamed:6,Unnamed:7,Unnamed:8,Unnamed:9,Unnamed:10,Unnamed:11,Unnamed:12,Unnamed:13
0,State or jurisdiction ,2012-13,,,,2013-14,,,,2014-15,,,,
1,,Asso- ciate's degrees,Bachelor's degrees,Master's degrees,Doctor's  de- grees\,Asso- ciate's degrees,Bachelor's degrees,Master's degrees,Doctor's  de- grees\,Asso- ciate's degrees,Bachelor's degrees,Master's degrees,Doctor's  de- grees\,
2,1,2,3,4,5,6,7,8,9,10,11,12,13,
3,   United States .............,"1,007,427","1,840,381","751,718","175,026","1,005,155","1,870,150","754,582","177,587","1,013,971","1,894,934","758,708","178,547",
4,Alabama ....................,"13,758","29,876","11,670","2,297","13,303","29,516","11,346","2,286","13,629","30,060","11,800","2,429",
5,Alaska .........................,"1,758","1,895",724,54,"1,805","2,033",707,60,"1,715","1,932",703,49,
6,Arizona .....................,"48,911","66,304","30,579","3,771","41,847","61,296","28,841","3,904","37,703","58,534","27,785","4,368",
7,Arkansas ..................,"8,499","14,317","5,225",980,"8,868","15,489","4,896",985,"9,095","15,881","4,899",971,
8,California .................,"120,550","180,529","69,257","18,761","129,962","199,274","74,541","18,319","133,533","201,116","74,626","18,307",
9,,,,,,,,,,,,,,
10,Colorado ....................,"15,550","32,446","15,009","2,747","14,177","33,412","14,935","2,917","13,992","33,626","14,685","2,840",
11,Connecticut ...............,"6,826","21,470","9,570","1,964","7,136","21,710","9,521","2,049","7,026","22,344","9,732","2,115",
12,Delaware ..................,"2,072","6,230","2,753",558,"2,080","6,338","2,842",554,"2,039","6,895","3,112",541,
13,District of Columbia ........,686,"9,299","10,995","3,621",766,"9,251","11,477","3,518",741,"9,272","11,439","3,384",
14,Florida .........................,"100,877","94,505","32,945","9,029","96,332","97,004","34,077","9,113","94,688","100,521","33,360","9,210",
15,,,,,,,,,,,,,,
16,Georgia ........................,"18,889","47,655","17,888","4,410","18,773","48,831","16,975","4,646","19,497","49,862","17,219","4,584",
17,Hawaii .....................,"4,402","6,363","1,978",556,"5,448","6,915","2,075",506,"4,429","6,966","1,856",624,
18,Idaho ........................,"5,762","10,336","2,049",398,"5,415","10,692","1,888",412,"5,152","10,886","1,957",387,
19,Illinois ........................,"40,584","75,992","43,254","8,598","40,516","74,958","41,647","8,446","40,187","74,317","40,080","8,757",
20,Indiana ....................,"18,838","46,551","14,663","3,475","17,775","46,927","14,357","3,537","17,243","48,082","14,099","3,648",
21,,,,,,,,,,,,,,
22,Iowa ........................,"18,751","41,462","12,127","3,031","17,072","28,125","7,681","2,950","16,772","28,201","8,298","2,851",
23,Kansas .....................,"10,647","19,622","6,625","1,474","11,799","20,274","7,387","1,460","12,043","20,081","7,344","1,698",
24,Kentucky ........................,"13,853","21,872","9,860","1,951","13,621","22,268","9,507","2,026","13,055","22,608","9,314","2,095",
25,Louisiana ...................,"7,150","22,334","7,552","2,532","7,240","22,539","7,348","2,495","7,146","22,247","7,332","2,509",
26,Maine .....................,"3,167","7,335","1,935",489,"3,193","7,476","2,035",528,"3,211","7,418","2,046",540,
27,,,,,,,,,,,,,,
28,Maryland ....................,"15,387","31,729","18,444","3,043","15,758","32,163","18,390","2,908","16,919","33,219","18,428","2,994",
29,Massachusetts ..............,"13,742","57,134","35,438","8,289","14,123","58,712","36,035","8,321","14,356","59,625","35,958","8,409",
30,Michigan .....................,"34,187","58,540","21,047","6,053","32,329","58,908","21,292","6,095","32,572","59,970","20,689","5,875",
31,Minnesota ...................,"21,664","36,326","22,202","4,813","21,213","36,470","22,115","5,290","20,141","36,726","22,827","5,092",
32,Mississippi ....................,"12,140","14,076","4,804","1,261","12,640","14,266","4,822","1,259","13,320","14,296","5,017","1,294",
33,,,,,,,,,,,,,,
34,Missouri ........................,"19,821","40,963","20,577","4,682","18,567","40,810","20,561","4,751","18,831","41,161","21,313","4,797",
35,Montana .....................,"2,296","5,644","1,280",395,"2,417","5,964","1,161",420,"2,477","6,156","1,300",458,
36,Nebraska ....................,"5,944","14,119","5,008","1,495","5,752","14,485","4,874","1,503","5,712","14,080","5,228","1,583",
37,Nevada ....................,"5,375","7,949","2,194",936,"5,732","8,056","2,148",922,"6,059","8,519","2,266","1,052",
38,New Hampshire ..................,"2,824","9,769","3,878",501,"2,970","10,137","4,577",542,"3,034","11,832","5,775",497,
39,,,,,,,,,,,,,,
40,New Jersey .................,"21,647","40,295","14,267","2,335","22,510","41,394","15,399","3,170","23,154","42,016","15,773","3,021",
41,New Mexico .................,"8,941","8,586","3,239",629,"8,648","8,956","3,262",644,"10,533","8,791","3,371",694,
42,New York .......................,"68,104","132,614","70,407","15,332","68,572","134,820","71,573","15,019","68,302","136,396","70,767","14,524",
43,North Carolina ..................,"28,591","51,782","17,301","4,824","29,234","52,602","18,376","5,005","31,876","52,889","17,237","4,835",
44,North Dakota ................,"2,386","5,983","1,676",465,"2,405","6,168","1,825",467,"2,309","6,291","1,706",511,
45,,,,,,,,,,,,,,
46,Ohio .......................,"33,570","66,193","22,994","6,117","33,473","68,288","22,737","6,149","33,386","69,635","23,581","6,156",
47,Oklahoma ....................,"12,405","20,047","6,497","1,658","12,606","20,654","6,616","1,657","13,047","20,730","6,532","1,626",
48,Oregon ......................,"14,272","22,085","7,504","1,959","13,371","22,739","8,487","1,996","13,679","22,656","10,353","1,966",
49,Pennsylvania ...............,"28,794","91,392","37,151","9,788","28,399","92,725","36,892","9,992","27,624","93,050","36,579","9,980",
50,Rhode Island ..............,"3,727","11,079","2,654",742,"3,780","11,455","2,620",753,"3,606","11,730","2,571",724,
51,,,,,,,,,,,,,,
52,South Carolina .............,"11,628","24,004","6,120","1,741","11,885","24,351","5,878","1,866","11,767","24,823","5,990","1,890",
53,South Dakota ....................,"2,610","5,641","1,512",335,"2,696","5,676","1,336",395,"2,479","5,638","1,538",407,
54,Tennessee ......................,"13,230","33,766","11,946","3,298","13,007","34,134","12,125","3,493","12,822","34,197","11,807","3,661",
55,Texas ...........................,"68,898","115,114","46,464","10,426","72,894","118,975","46,362","10,810","79,401","122,165","48,762","10,987",
56,Utah ...........................,"13,021","28,597","8,412","1,247","13,609","29,848","9,565","1,271","12,982","32,160","9,982","1,237",
57,,,,,,,,,,,,,,
58,Vermont ....................,"1,280","6,206","3,191",434,"1,222","6,221","2,295",358,"1,156","6,160","2,311",394,
59,Virginia ....................,"25,789","54,749","22,782","5,193","25,191","55,794","23,844","5,349","25,554","56,878","23,790","5,365",
60,Washington ..................,"29,281","32,689","9,519","2,601","29,064","32,506","9,292","2,558","29,998","33,309","9,498","2,584",
61,West Virginia ..................,"5,411","14,357","6,409","1,032","5,914","15,525","6,806","1,009","6,497","15,997","6,524","1,055",
62,Wisconsin .......................,"15,807","36,927","9,653","2,507","14,901","37,346","8,755","2,682","14,510","37,555","9,082","2,750",
63,Wyoming ...................,"3,125","2,057",486,199,"3,145","2,012",476,222,"2,972","2,026",463,222,
64,,,,,,,,,,,,,,
65,U.S. Service Academies ....,0,"3,576",4,0,0,"3,662",3,0,0,"3,409",4,0,
66,,,,,,,,,,,,,,
67,   Other jurisdictions ............,"8,293","20,870","5,224","1,471","9,194","21,127","5,321","1,462","10,278","21,195","5,272","1,420",
68,American Samoa ..............,235,5,0,0,228,3,0,0,245,8,0,0,
69,"Federated States of
   Micronesia ........",293,0,0,0,267,0,0,0,302,0,0,0,
70,Guam ............................,137,395,113,0,155,424,106,0,217,457,112,0,
71,Marshall Islands ................,79,0,0,0,106,0,0,0,102,0,0,0,
72,Northern Marianas ............,133,29,0,0,123,35,0,0,125,26,0,0,
73,Palau ...........................,99,0,0,0,88,0,0,0,86,0,0,0,
74,Puerto Rico ..................,"7,252","20,230","5,055","1,471","8,169","20,451","5,165","1,462","9,143","20,519","5,109","1,420",
75,U.S. Virgin Islands ...............,65,211,56,0,58,214,50,0,58,185,51,0,
76,"\Includes Ph.D., Ed.D., and comparable degrees at the doctoral level. Includes most degrees formerly classified as first-professional, such as M.D., D.D.S., and law degrees.",,,,,,,,,,,,,
77,NOTE: Data are for postsecondary institutions participating in Title IV federal financial aid programs. Some data have been revised from previously published figures.,,,,,,,,,,,,,
78,"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Fall 2013 through Fall 2015, Completions component. (This table was prepared February 2017.)",,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,
